Species,Locus,Stop
campylobacter_hyointestinalis_CCUG-27631,NZ_CP015576.1,1753108
treponema_vincentii_OMZ-804,NZ_CP048020.1,2979956
streptococcus_agalactiae_CU-GBS-98,NZ_CP010875.1,2029562
bacillus_subtilis_168G,NZ_CP016852.1,4214597
salmonella_enterica_USDA-ARS-USMARC-1781,NZ_CP014666.2,4635697
klebsiella_pneumoniae_BM336-2-1,NZ_CP063913.1,5396473
klebsiella_pneumoniae_BM336-2-1,NZ_CP063914.1,255766
klebsiella_pneumoniae_M941,NZ_AP023453.1,5396887
klebsiella_pneumoniae_M941,NZ_AP023454.1,93231
klebsiella_pneumoniae_M941,NZ_AP023455.1,185707
klebsiella_pneumoniae_M941,NZ_AP023456.1,55302
klebsiella_pneumoniae_M941,NZ_AP023457.1,9294
klebsiella_pneumoniae_M941,NZ_AP023458.1,2766
pediococcus_acidilactici_HN9,NZ_CP061715.1,2034004
pediococcus_acidilactici_HN9,NZ_CP061716.1,41279
pediococcus_acidilactici_HN9,NZ_CP061717.1,30565
klebsiella_pneumoniae_SCKP020049,NZ_CP028787.2,5255965
klebsiella_pneumoniae_SCKP020049,NZ_CP028784.1,181346
klebsiella_pneumoniae_SCKP020049,NZ_CP028786.2,52451
klebsiella_pneumoniae_SCKP020049,NZ_CP028785.2,4766
lactococcus_lactis_IL1403,NZ_CP033607.1,2365167
staphylococcus_aureus_QD-CD9,NZ_CP031838.1,2855651
helicobacter_pylori_F57,NC_017367.1,1608763
mycobacterium_tuberculosis_11502,NZ_CP070338.1,4419958
lactiplantibacillus_plantarum_SRCM100442,NZ_CP028221.1,3223538
raoultella_ornithinolytica_NY1,NZ_CP079752.1,5592164
raoultella_ornithinolytica_NY1,NZ_CP079753.1,167012
helicobacter_pylori_169-A-EK5,NZ_CP032904.1,1610035
escherichia_coli_M8,NZ_CP019953.1,5108770
escherichia_coli_M8,NZ_CP019954.1,160020
escherichia_coli_M8,NZ_CP019955.1,5826
escherichia_coli_M8,NZ_CP019956.1,3799
acinetobacter_baumannii_SSMA17,NZ_CP020581.1,3931844
acinetobacter_baumannii_SSMA17,NZ_CP020580.1,89208
citrobacter_freundii_RHB31-C16,NZ_CP057258.1,4718492
cutibacterium_avidum_KGMB02810,NZ_CP068549.1,2608956
escherichia_coli_04-00955,NZ_CP035498.1,5349528
bacillus_subtilis_BEST195,NC_017196.2,4105163
bacillus_subtilis_BEST195,NC_017194.1,5087
escherichia_coli_CRE10,NZ_CP034404.1,4929206
escherichia_coli_CRE10,NZ_CP034401.1,133823
escherichia_coli_CRE10,NZ_CP034402.1,92375
escherichia_coli_CRE10,NZ_CP034405.1,61466
escherichia_coli_CRE10,NZ_CP034403.1,40174
salmonella_enterica_Sal-5091,NZ_CP045518.1,4640143
salmonella_enterica_Sal-5091,NZ_CP045519.1,106737
salmonella_enterica_Sal-5091,NZ_CP045520.1,89924
salmonella_enterica_Sal-5091,NZ_CP045521.1,62685
enterobacter_cloacae_C45,NZ_LT991957.1,4783116
enterobacter_cloacae_C45,NZ_LT991958.1,298641
enterobacter_cloacae_C45,NZ_LT991959.1,141469
enterobacter_cloacae_C45,NZ_LT991960.1,65087
staphylococcus_aureus_UP-322,NZ_CP047799.1,2821427
leclercia_adecarboxylata_E61,NZ_CP042493.1,5017504
leclercia_adecarboxylata_E61,NZ_CP042494.1,357054
leclercia_adecarboxylata_E61,NZ_CP042495.1,177748
leclercia_adecarboxylata_E61,NZ_CP042496.1,128419
leclercia_adecarboxylata_E61,NZ_CP042497.1,7777
leclercia_adecarboxylata_E61,NZ_CP042498.1,1726
escherichia_coli_CETR3G40,NZ_CP064678.1,4631446
staphylococcus_aureus_AR39-O1-merpol,NZ_CP065353.1,2730807
escherichia_coli_TCM-B-2,NZ_CP075061.1,4805441
escherichia_coli_TCM-B-2,NZ_CP075057.1,107236
escherichia_coli_TCM-B-2,NZ_CP075060.1,47366
escherichia_coli_TCM-B-2,NZ_CP075059.1,101757
escherichia_coli_TCM-B-2,NZ_CP075056.1,208612
escherichia_coli_TCM-B-2,NZ_CP075058.1,106799
escherichia_coli_90-1,NZ_CP050047.1,4800921
escherichia_coli_90-1,NZ_CP050048.1,104657
escherichia_coli_90-1,NZ_CP050049.1,26966
escherichia_coli_90-1,NZ_CP050050.1,4130
escherichia_coli_90-1,NZ_CP050051.1,4373
salmonella_enterica_08-00436,NZ_CP020492.1,4751902
salmonella_enterica_08-00436,NZ_CP020493.1,264438
salmonella_enterica_08-00436,NZ_CP020494.1,53663
streptococcus_anginosus_NCTC10713,NZ_LR134283.1,1953353
escherichia_coli_16-9255,NZ_CP022407.1,5396607
escherichia_coli_16-9255,NZ_CP022408.1,81301
escherichia_coli_STB20-1,NZ_CP050173.1,4695360
escherichia_coli_STB20-1,NZ_CP050174.1,96623
bacillus_thuringiensis_Bt185,NZ_CP014282.1,5243474
bacillus_thuringiensis_Bt185,NZ_CP014290.1,7179
bacillus_thuringiensis_Bt185,NZ_CP014288.1,12249
bacillus_thuringiensis_Bt185,NZ_CP014287.1,41906
bacillus_thuringiensis_Bt185,NZ_CP014289.1,43131
bacillus_thuringiensis_Bt185,NZ_CP014286.1,54016
bacillus_thuringiensis_Bt185,NZ_CP014285.1,55092
bacillus_thuringiensis_Bt185,NZ_CP014284.1,293491
bacillus_thuringiensis_Bt185,NZ_CP014283.1,633914
staphylococcus_aureus_UP-296,NZ_CP047800.1,2818799
lactiplantibacillus_plantarum_B21,NZ_CP010528.1,3283755
lactiplantibacillus_plantarum_B21,NZ_CP025732.1,18878
lactiplantibacillus_plantarum_B21,NZ_CP025733.1,3808
stenotrophomonas_maltophilia_NCTC10257,NZ_LT906480.1,5004006
escherichia_coli_1105,NZ_CP023388.1,5059652
escherichia_coli_1105,NZ_CP023389.1,73815
campylobacter_jejuni_CJ677CC526,NZ_CP010477.1,1667317
staphylococcus_aureus_165,NZ_CP022902.1,2892177
chryseobacterium_sp._cx-624,NZ_CP059472.1,2613426
klebsiella_pneumoniae_YH43,NZ_AP014950.1,5519729
escherichia_coli_FDAARGOS-1265,NZ_CP069583.1,5213091
escherichia_coli_FDAARGOS-1265,NZ_CP069584.1,205301
escherichia_coli_FDAARGOS-1265,NZ_CP069585.1,5244
coxiella_burnetii_MSU-Goat-Q177,NZ_CP018150.1,2062939
coxiella_burnetii_MSU-Goat-Q177,NC_010258.1,38959
enterobacter_asburiae_RHBSTW-01009,NZ_CP056126.1,4586150
enterobacter_asburiae_RHBSTW-01009,NZ_CP056127.1,69910
enterobacter_asburiae_RHBSTW-01009,NZ_CP056128.1,2563
staphylococcus_aureus_CAR,NZ_CP029030.1,2829556
pseudomonas_aeruginosa_DK1-substr.-NH57388A,NZ_LN870292.1,6212488
klebsiella_pneumoniae_18-2374,NZ_CP041927.1,5253497
klebsiella_pneumoniae_18-2374,NZ_CP041928.1,201127
klebsiella_pneumoniae_18-2374,NZ_CP041929.1,107405
klebsiella_pneumoniae_18-2374,NZ_CP041930.1,85051
klebsiella_pneumoniae_18-2374,NZ_CP041931.1,49958
mycobacterium_tuberculosis_CG24,NZ_CP072761.1,4458846
staphylococcus_saprophyticus_Staphylococcus-saprophyticus-883,NZ_LT963436.1,2488173
mycobacterium_tuberculosis_TBV4952,NZ_CP023640.1,4410811
lactiplantibacillus_plantarum_NCIMB8826,NZ_CP037961.1,3307695
lactiplantibacillus_plantarum_NCIMB8826,NZ_CP037962.1,34765
bacillus_velezensis_CAU-B946,NC_016784.1,4019651
citrobacter_sp._RHBSTW-00678,NZ_CP056350.1,5177928
citrobacter_sp._RHBSTW-00678,NZ_CP056351.1,303979
citrobacter_sp._RHBSTW-00678,NZ_CP056352.1,8082
citrobacter_sp._RHBSTW-00678,NZ_CP056353.1,3974
citrobacter_sp._RHBSTW-00678,NZ_CP056354.1,1981
escherichia_coli_E2,NZ_CP048915.1,4740824
escherichia_coli_E2,NZ_CP048917.1,91869
escherichia_coli_E2,NZ_CP048919.1,961
escherichia_coli_E2,NZ_CP048916.1,110539
escherichia_coli_E2,NZ_CP048918.1,51449
vibrio_cholerae_O395-substr.-TCP2,NZ_CP045719.1,3025684
vibrio_cholerae_O395-substr.-TCP2,NZ_CP045718.1,1106012
klebsiella_pneumoniae_INF321-sc-2280120,NZ_LR890669.1,5095167
klebsiella_pneumoniae_INF321-sc-2280120,NZ_LR890670.1,123143
klebsiella_pneumoniae_INF321-sc-2280120,NZ_LR890671.1,115182
klebsiella_pneumoniae_INF321-sc-2280120,NZ_LR890672.1,4231
klebsiella_pneumoniae_INF321-sc-2280120,NZ_LR890673.1,2971
klebsiella_pneumoniae_INF321-sc-2280120,NZ_LR890674.1,2794
klebsiella_pneumoniae_INF321-sc-2280120,NZ_LR890675.1,4166
klebsiella_pneumoniae_INF321-sc-2280120,NZ_LR890676.1,2606
klebsiella_pneumoniae_INF321-sc-2280120,NZ_LR890677.1,1739
klebsiella_pneumoniae_INF321-sc-2280120,NZ_LR890678.1,663
escherichia_coli_CREC-532,NZ_CP024830.1,4837064
escherichia_coli_CREC-532,NZ_CP024831.1,215786
escherichia_coli_CREC-532,NZ_CP024832.1,96647
escherichia_coli_CREC-532,NZ_CP024833.1,45893
pseudomonas_aeruginosa_NCGM2.S1,NC_017549.1,6764618
selenomonas_sputigena_ATCC-35185,NC_015437.1,2567896
salmonella_enterica_TW-Stm6,NZ_CP019649.1,4999838
salmonella_enterica_TW-Stm6,NZ_CP019648.1,3552
salmonella_enterica_TW-Stm6,NZ_CP019647.1,275325
acinetobacter_sp._TGL-Y2,NZ_CP015110.1,3383187
acinetobacter_sp._TGL-Y2,NZ_CP015111.1,293431
acinetobacter_sp._TGL-Y2,NZ_CP015112.1,8596
proteus_mirabilis_FDAARGOS-60,NZ_CP026044.1,4105039
lactiplantibacillus_plantarum_5-2,NZ_CP009236.1,3237147
streptococcus_suis_Transconjugant-cFJSM5,NZ_CP082199.1,2060839
streptococcus_pneumoniae_180-15,NZ_LR129844.1,2037057
weissella_cibaria_CH2,NZ_CP012873.1,2466926
weissella_cibaria_CH2,NZ_CP012874.1,45583
weissella_cibaria_CH2,NZ_CP012875.1,24052
weissella_cibaria_CH2,NZ_CP012876.1,22439
weissella_cibaria_CH2,NZ_CP012877.1,9470
weissella_cibaria_CH2,NZ_CP012878.1,5223
weissella_cibaria_CH2,NZ_CP012880.1,2477
pantoea_sp._MT58,NZ_CP061083.1,4017372
pantoea_sp._MT58,NZ_CP061084.1,521637
pantoea_sp._MT58,NZ_CP061085.1,129026
pantoea_sp._MT58,NZ_CP061086.1,3701
clostridioides_difficile_CD-17-01474,NZ_CP026591.1,4200672
bacillus_subtilis_168,NZ_CP010052.1,4215402
escherichia_coli_C5,NZ_CP010122.1,5333380
escherichia_coli_C5,NZ_CP010123.1,214444
escherichia_coli_C5,NZ_CP010124.1,85608
bifidobacterium_longum_NBRC-114370,NZ_CP084012.1,2424378
bifidobacterium_longum_NBRC-114370,NZ_CP084013.1,166427
salmonella_enterica_EC20121175,NZ_CP007269.1,4679949
bacillus_licheniformis_ATCC-14580--DSM-13,NC_006270.3,4222464
staphylococcus_aureus_NCTC13435,NZ_LN831036.1,2796723
staphylococcus_aureus_NCTC13435,NZ_LN831037.1,5696
staphylococcus_aureus_NCTC13435,NZ_LN831038.1,5139
acinetobacter_pittii_HUMV-6483,NZ_CP021428.1,4069373
acinetobacter_pittii_HUMV-6483,NZ_CP021429.1,112227
serratia_marcescens_1602,NZ_CP047391.1,5122010
serratia_marcescens_1602,NZ_CP047392.1,42575
bacillus_amyloliquefaciens_MOH1-5b,NZ_CP061853.1,3964225
acinetobacter_junii_YR7,NZ_CP059558.1,3391974
acinetobacter_junii_YR7,NZ_CP059559.1,45379
klebsiella_pneumoniae_WRC14-AI2040MC,NZ_CP079186.1,5419944
klebsiella_pneumoniae_WRC14-AI2040MC,NZ_CP079187.1,160395
klebsiella_pneumoniae_WRC14-AI2040MC,NZ_CP079188.1,71201
klebsiella_pneumoniae_WRC14-AI2040MC,NZ_CP079189.1,7203
klebsiella_pneumoniae_WRC14-AI2040MC,NZ_CP079190.1,5766
klebsiella_pneumoniae_WRC14-AI2040MC,NZ_CP079191.1,4940
klebsiella_pneumoniae_WRC14-AI2040MC,NZ_CP079192.1,2442
escherichia_coli_F8092B,NZ_CP038355.1,5520652
escherichia_coli_F8092B,NZ_CP038356.1,97428
salmonella_enterica_CFSAN000191,NZ_CP032622.2,4726803
enterobacter_cloacae_WP5-S18-ESBL-01,NZ_AP022133.1,4596530
enterobacter_cloacae_WP5-S18-ESBL-01,NZ_AP022134.1,269652
enterobacter_cloacae_WP5-S18-ESBL-01,NZ_AP022135.1,73117
enterobacter_cloacae_WP5-S18-ESBL-01,NZ_AP022136.1,49155
enterobacter_cloacae_WP5-S18-ESBL-01,NZ_AP022137.1,1606
enterobacter_cloacae_WP5-S18-ESBL-01,NZ_AP022138.1,2270
bacillus_licheniformis_CP6,NZ_CP049330.1,4316270
aeromonas_veronii_WP3-W19-ESBL-03,NZ_AP022038.1,4941096
aeromonas_veronii_WP3-W19-ESBL-03,NZ_AP022039.1,17000
